global_step,local_step,raw_action_min,raw_action_max,action_0,action_1,action_2,action_3,action_4,action_5,action_6,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,demo_err_max,live_err_max,live_reward,live_done,live_truncated,action_changed_by_safety,demo_delta_action_0,demo_delta_action_1,demo_delta_action_2,demo_delta_action_3,demo_delta_action_4,demo_delta_action_5,live_delta_action_0,live_delta_action_1,live_delta_action_2,live_delta_action_3,live_delta_action_4,live_delta_action_5
0,0,-0.014543991535902023,0.012730753049254417,0.006504356861114502,0.004425644874572754,0.0035837292671203613,-0.010438231751322746,0.012730753049254417,-0.014543991535902023,0.0,0.00011707841622410342,7.966160774230957e-05,6.45071268081665e-05,-0.00010438231402076781,0.000127307532238774,-0.00014543991710525006,0.05817596986889839,0.03958537429571152,0.0,False,False,False,0.0036135318223387003,0.0024586915969848633,0.0019909606780856848,-0.05219116061925888,0.06365376710891724,-0.07271996140480042,0.04382183402776718,0.004869368392974138,0.008641846477985382,0.02914714254438877,0.012630446814000607,-0.038272831588983536
1,1,-0.09176582098007202,0.10342299938201904,-0.008162856101989746,0.10342299938201904,-0.09176582098007202,-0.015442011877894402,-0.009572944603860378,-0.032642215490341187,0.0,-0.0001469314011046663,0.001861613942310214,-0.001651784754358232,-0.00015442012227140367,-9.57294469117187e-05,-0.00032642215956002474,0.13056886196136475,0.10342299938201904,0.0,False,False,False,-0.004534920211881399,0.057457223534584045,-0.05098101496696472,-0.07721006125211716,-0.047864723950624466,-0.16321107745170593,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03450443968176842,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021068586502224207,0.00431471411138773,-0.0049157277680933475,0.009278283454477787,0.008851487189531326,-0.03450443968176842
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16252322494983673,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00044123997213318944,0.06415612250566483,-0.047571130096912384,0.03467706963419914,-0.0801694393157959,-0.16252322494983673
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09400118142366409,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0053826309740543365,0.009682443924248219,-0.022051235660910606,-0.022056356072425842,0.03439274802803993,-0.09400118142366409
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148614764213562,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.046547919511795044,0.05431639030575752,-0.02337661199271679,-0.03166550025343895,-0.047892242670059204,-0.148614764213562
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08062069863080978,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.034112900495529175,-0.009569857269525528,-0.027118459343910217,-0.0710459053516388,0.03080459125339985,-0.08062069863080978
7,7,-0.03758668899536133,0.05978047847747803,0.0063419342041015625,0.05978047847747803,-0.03758668899536133,0.014057065360248089,0.002949131652712822,-0.01160290278494358,0.0,0.00011415481276344508,0.0010760485893115401,-0.0006765603902749717,0.00014057065709494054,2.949131521745585e-05,-0.00011602902668528259,0.056228261440992355,0.12524080276489258,0.0,False,False,False,0.003523296909406781,0.03321137651801109,-0.020881494507193565,0.07028532773256302,0.01474565826356411,-0.05801451578736305,-0.034703150391578674,0.05494058504700661,-0.04533512890338898,0.09308953583240509,0.029544562101364136,-0.1368437111377716
8,8,-0.04711747169494629,0.02416859194636345,-0.026986002922058105,0.018516182899475098,-0.04711747169494629,-0.025698909536004066,0.02416859194636345,0.017082784324884415,0.0,-0.00048574802349321544,0.0003332912747282535,-0.0008481144323013723,-0.00025698909303173423,0.0002416859206277877,0.00017082784324884415,0.10279565304517746,0.09494082629680634,0.0,False,False,False,-0.014992224052548409,0.010286768898367882,-0.026176374405622482,-0.12849456071853638,0.12084296345710754,0.08541393280029297,0.03130071982741356,0.04109574854373932,-0.03653433918952942,-0.09129995852708817,-0.05220453068614006,-0.07785803824663162
9,9,-0.1756942868232727,0.1588180661201477,0.1588180661201477,-0.1600891351699829,-0.0990062952041626,-0.1756942868232727,0.026316821575164795,-0.021721433848142624,0.0,0.00285872514359653,-0.0028816042467951775,-0.0017821132205426693,-0.001756942830979824,0.00026316821458749473,-0.00021721432858612388,0.7027771472930908,0.2180725336074829,0.0,False,False,False,0.08823226392269135,-0.08893841505050659,-0.05500350147485733,-0.8784714341163635,0.13158410787582397,-0.10860717296600342,-0.059254471212625504,0.026732685044407845,-0.05248106271028519,-0.03339758142828941,0.16922754049301147,-0.0711326003074646
10,10,-0.14302432537078857,0.08660107851028442,0.08660107851028442,-0.029322504997253418,-0.14302432537078857,-0.11026640981435776,0.04391274228692055,-0.028618063777685165,0.0,0.0015588193200528622,-0.0005278050666674972,-0.002574437763541937,-0.001102664042264223,0.0004391274123918265,-0.00028618064243346453,0.44106563925743103,0.2710403800010681,0.0,False,False,False,0.04811171069741249,-0.01629028096795082,-0.07945796102285385,-0.5513320565223694,0.21956372261047363,-0.14309032261371613,0.2265092432498932,-0.12046761810779572,-0.06301535665988922,-0.2460099756717682,-0.22712764143943787,-0.22236812114715576
11,11,-0.09537041187286377,0.0725865364074707,0.0725865364074707,-0.08730888366699219,-0.09537041187286377,-0.09300300478935242,0.049104247242212296,-0.029603386297822,0.0,0.0013065575622022152,-0.001571559812873602,-0.0017166673205792904,-0.0009300300152972341,0.0004910424468107522,-0.00029603386064991355,0.37201204895973206,0.3207215964794159,0.0,False,False,False,0.04032585397362709,-0.04850493744015694,-0.052983563393354416,-0.4650150537490845,0.24552124738693237,-0.14801694452762604,-0.1523047685623169,0.1490877866744995,-0.13601863384246826,0.19095954298973083,0.3698258399963379,0.060064684599637985
12,12,-0.06696581840515137,0.08663088083267212,0.08663088083267212,-0.06696581840515137,-0.06348937749862671,-0.005208546761423349,0.013219725340604782,-0.015043430030345917,0.0,0.0015593557618558407,-0.0012053847312927246,-0.0011428087018430233,-5.2085466450080276e-05,0.0001321972522418946,-0.00015043429448269308,0.06017372012138367,0.3851609230041504,0.0,False,False,False,0.048128269612789154,-0.03720323368906975,-0.03527187928557396,-0.02604273334145546,0.06609863042831421,-0.07521715015172958,0.17071682214736938,-0.17434193193912506,0.005778339225798845,-0.3903694748878479,-0.30586281418800354,-0.37979626655578613
13,13,-0.11789202690124512,0.05872859060764313,0.03696084022521973,-0.11766254901885986,-0.11789202690124512,0.05872859060764313,0.003948270343244076,-0.022639626637101173,0.0,0.0006652951124124229,-0.00211792578920722,-0.0021220564376562834,0.0005872859037481248,3.9482703868998215e-05,-0.00022639626695308834,0.2349143773317337,0.43476051092147827,0.0,False,False,False,0.02053380012512207,-0.06536808609962463,-0.0654955729842186,0.29364296793937683,0.019741352647542953,-0.11319813877344131,-0.11740045994520187,0.17507043480873108,-0.11736486107110977,0.4934890866279602,0.4245556890964508,0.2627464532852173
14,14,-0.20886361598968506,0.07271009683609009,0.05075335502624512,-0.20886361598968506,-0.11434555053710938,0.07271009683609009,-0.008472981862723827,-0.08042921125888824,0.0,0.0009135603322647512,-0.0037595450412482023,-0.00205821986310184,0.0007271009380929172,-8.47298142616637e-05,-0.0008042920962907374,0.321716845035553,0.5724484920501709,0.0,False,False,False,0.0281963087618351,-0.1160353496670723,-0.06352531164884567,0.36355048418045044,-0.04236491024494171,-0.4021460711956024,0.1335740089416504,-0.22738014161586761,-0.01833587884902954,-0.4997383952140808,-0.34913215041160583,-0.5000671148300171
15,15,-0.20737051963806152,0.036644935607910156,0.036644935607910156,-0.20737051963806152,-0.07667988538742065,0.023880600929260254,-0.030995992943644524,-0.048307597637176514,0.0,0.0006596088060177863,-0.0037326691672205925,-0.0013802378671243787,0.00023880600929260254,-0.0003099599271081388,-0.00048307597171515226,0.19323040544986725,0.518994927406311,0.0,False,False,False,0.02035829797387123,-0.11520584672689438,-0.042599938809871674,0.11940300464630127,-0.15497997403144836,-0.24153800308704376,-0.0922398492693901,0.08515020459890366,-0.1074473112821579,0.5428755283355713,0.3603777289390564,0.21952268481254578
16,16,-0.2070993185043335,0.07813157141208649,0.003796815872192383,-0.2070993185043335,-0.1339733600616455,0.07813157141208649,-0.061586663126945496,-0.07100151479244232,0.0,6.834268424427137e-05,-0.0037277876399457455,-0.002411520341411233,0.0007813156698830426,-0.0006158666219562292,-0.0007100151269696653,0.31252628564834595,0.6295838952064514,0.0,False,False,False,0.0021093422546982765,-0.11505518108606339,-0.07442964613437653,0.39065787196159363,-0.30793333053588867,-0.3550075888633728,0.11241105198860168,-0.20453335344791412,0.008028415031731129,-0.5514523386955261,-0.3545714318752289,-0.46488088369369507
17,17,-0.2792239189147949,0.06313174962997437,0.06313174962997437,-0.2792239189147949,-0.11900067329406738,-0.0055595263838768005,-0.10814964026212692,-0.11831004172563553,0.0,0.0011363714002072811,-0.005026030354201794,-0.002142012119293213,-5.559526107390411e-05,-0.0010814963607117534,-0.001183100393973291,0.4732401967048645,0.5199285745620728,0.0,False,False,False,0.03507319465279579,-0.15512441098690033,-0.0661114901304245,-0.027797633782029152,-0.5407481789588928,-0.5915502309799194,-0.12319701164960861,0.049243371933698654,-0.16055256128311157,0.5143690705299377,0.3475366234779358,0.1525857001543045
18,18,-0.13669729232788086,0.1061566174030304,0.03413856029510498,-0.13495683670043945,-0.13669729232788086,0.1061566174030304,-0.03474998474121094,-0.06297917664051056,0.0,0.0006144940853118896,-0.002429222920909524,-0.0024605512153357267,0.001061566174030304,-0.00034749985206872225,-0.0006297917570918798,0.42462649941444397,0.7448627948760986,0.0,False,False,False,0.018965868279337883,-0.07497602701187134,-0.07594294100999832,0.5307831168174744,-0.1737499237060547,-0.314895898103714,0.16798245906829834,-0.2841866910457611,0.017955899238586426,-0.6387062072753906,-0.4676707983016968,-0.5418666005134583
19,19,-0.14355182647705078,0.09824448078870773,-0.03994554281234741,-0.04177689552307129,-0.14355182647705078,0.09824448078870773,-0.013254495337605476,0.00828267727047205,0.0,-0.0007190197356976569,-0.0007519840728491545,-0.0025839328300207853,0.0009824447333812714,-0.0001325449557043612,8.28267729957588e-05,0.39297792315483093,0.47719764709472656,0.0,False,False,False,-0.0221919696778059,-0.023209387436509132,-0.07975101470947266,0.49122241139411926,-0.06627248227596283,0.041413385421037674,-0.13994178175926208,0.20759139955043793,-0.17715494334697723,0.5754421353340149,0.4460442066192627,0.29207825660705566
20,20,-0.176374614238739,0.06592869758605957,0.06592869758605957,-0.1697838306427002,-0.176374614238739,0.02788129262626171,-0.09165938943624496,0.000635767646599561,0.0,0.0011867164866998792,-0.00305610871873796,-0.003174742916598916,0.000278812920441851,-0.0009165938827209175,6.357676284096669e-06,0.36663755774497986,0.5458841323852539,0.0,False,False,False,0.03662705421447754,-0.09432435780763626,-0.0979859009385109,0.1394064724445343,-0.4582969546318054,0.0031788384076207876,0.09782695770263672,-0.16177363693714142,-0.00137835752684623,-0.5180028676986694,-0.3692753314971924,-0.4964706599712372
21,21,-0.30009448528289795,0.028896331787109375,0.028896331787109375,-0.1457005739212036,-0.30009448528289795,-0.022689394652843475,-0.06715516746044159,-0.0608815960586071,0.0,0.0005201339372433722,-0.002622610190883279,-0.005401700735092163,-0.0002268939424538985,-0.0006715516792610288,-0.0006088159279897809,0.26862066984176636,0.45227131247520447,0.0,False,False,False,0.016053518280386925,-0.08094476908445358,-0.16671916842460632,-0.11344698071479797,-0.33577585220336914,-0.3044079840183258,-0.038738880306482315,0.013935897499322891,-0.19118936359882355,0.4295819103717804,0.2440914809703827,0.269619345664978
