global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,live_prev_pose_found,live_next_pose_found,demo_prev_pose_found,demo_next_pose_found,live_err_norm_max,live_err_norm_l2,live_err_pos_max_m,live_err_pos_l2_m,live_err_rot_max_rad,live_err_rot_l2_rad,demo_err_norm_max,demo_err_pos_max_m,demo_err_rot_max_rad,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated,live_delta_action_0,live_action_err_0,demo_delta_action_0,live_delta_action_1,live_action_err_1,demo_delta_action_1,live_delta_action_2,live_action_err_2,demo_delta_action_2,live_delta_action_3,live_action_err_3,demo_delta_action_3,live_delta_action_4,live_action_err_4,demo_delta_action_4,live_delta_action_5,live_action_err_5,demo_delta_action_5
0,0,legacy_list,manual,0.02,0.04,0.02,0.04,-0.06861910223960876,0.04992187023162842,False,False,0.026229023933410645,0.04992187023162842,-0.06861910223960876,-0.02551339939236641,-0.020476166158914566,-0.0582193098962307,0.0,hold(0),0.0005245804786682129,0.0009984374046325684,-0.0013723820447921753,-0.0010205359430983663,-0.000819046632386744,-0.0023287723306566477,True,True,True,True,0.06891340017318726,0.10773373395204544,0.0013782680034637451,0.0017437911592423916,0.002238296205177903,0.0025312567595392466,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.003536045551300049,-0.022692978382110596,0.026229023933410645,0.0015690922737121582,-0.04835277795791626,0.04992187023162842,0.0002942979335784912,0.06891340017318726,-0.06861910223960876,0.0004532326420303434,0.02596663124859333,-0.02551339939236641,-0.0063679758459329605,0.014108190312981606,-0.020476166158914566,-0.0022619012743234634,0.055957406759262085,-0.0582193098962307
1,1,legacy_list,manual,0.02,0.04,0.02,0.04,-1.0,1.0,False,False,0.5604960322380066,1.0,-1.0,-1.0,0.8991124033927917,0.9215205311775208,0.0,hold(0),0.011209920048713684,0.019999999552965164,-0.019999999552965164,-0.03999999910593033,0.035964496433734894,0.03686081990599632,True,True,True,True,1.0,2.2297441959381104,0.019999999552965164,0.030424699187278748,0.03999999910593033,0.06520862877368927,3.5910592079162598,0.036873023957014084,0.1436423659324646,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.0,-0.5604960322380066,0.5604960322380066,0.0,-1.0,1.283109188079834,0.0,1.0,-2.843651294708252,0.0,1.0,-4.59105920791626,0.0,-0.8991124033927917,0.8991124033927917,0.0,-0.9215205311775208,0.9215205311775208
2,2,legacy_list,manual,0.02,0.04,0.02,0.04,-0.34033507108688354,0.33496811985969543,False,False,-0.07112398743629456,-0.1054719090461731,-0.34033507108688354,0.33496811985969543,0.2846599519252777,-0.04534078761935234,0.0,hold(0),-0.0014224797487258911,-0.002109438180923462,-0.006806701421737671,0.013398724608123302,0.01138639822602272,-0.0018136315047740936,True,True,True,True,0.2767060101032257,0.41530662775039673,0.004125446081161499,0.004625723231583834,0.01106823980808258,0.013797755353152752,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.0072509050369262695,0.07837489247322083,-0.07112398743629456,-0.036172568798065186,0.06929934024810791,-0.1054719090461731,-0.1340627670288086,0.20627230405807495,-0.34033507108688354,0.05826209858059883,-0.2767060101032257,0.33496811985969543,0.08092094957828522,-0.2037390023469925,0.2846599519252777,-0.015166211873292923,0.030174575746059418,-0.04534078761935234
3,3,legacy_list,manual,0.02,0.04,0.02,0.04,-0.541579008102417,0.18038757145404816,False,False,-0.031085312366485596,-0.061511993408203125,-0.541579008102417,-0.20556867122650146,0.18038757145404816,-0.4698850214481354,0.0,hold(0),-0.0006217062473297119,-0.0012302398681640625,-0.010831579566001892,-0.008222746662795544,0.007215502671897411,-0.018795400857925415,True,True,True,True,0.5597215890884399,0.6601885557174683,0.004796594846993685,0.005576091352850199,0.022388862445950508,0.023937148973345757,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.02997666597366333,0.0011086463928222656,-0.031085312366485596,0.08065849542617798,0.1421704888343811,-0.061511993408203125,-0.30174925923347473,0.23982974886894226,-0.541579008102417,0.3541528880596161,0.5597215890884399,-0.20556867122650146,0.15186013281345367,-0.028527438640594482,0.18038757145404816,-0.260087788105011,0.2097972333431244,-0.4698850214481354
4,4,legacy_list,manual,0.02,0.04,0.02,0.04,-0.3511449098587036,0.09192357957363129,False,False,-0.07912367582321167,0.015775859355926514,-0.27264803647994995,-0.3511449098587036,0.09192357957363129,-0.04350060224533081,0.0,hold(0),-0.0015824735164642334,0.0003155171871185303,-0.005452960729598999,-0.014045796357095242,0.003676943015307188,-0.0017400240758433938,True,True,True,True,0.05563940107822418,0.09523987770080566,0.0008780509233474731,0.0011181433219462633,0.0022255759686231613,0.00308415899053216,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.12302622199058533,-0.04390254616737366,-0.07912367582321167,0.0453069806098938,0.029531121253967285,0.015775859355926514,-0.29070600867271423,-0.018057972192764282,-0.27264803647994995,-0.29994481801986694,0.05120009183883667,-0.3511449098587036,0.14756298065185547,0.05563940107822418,0.09192357957363129,-0.028406543657183647,0.015094058588147163,-0.04350060224533081
5,5,legacy_list,manual,0.02,0.04,0.02,0.04,-0.10405778884887695,0.25731584429740906,False,False,0.02396330237388611,0.058260560035705566,-0.10405778884887695,0.25731584429740906,0.17211110889911652,-0.0610494539141655,0.0,hold(0),0.00047926604747772217,0.0011652112007141113,-0.002081155776977539,0.010292633436620235,0.006884444039314985,-0.002441978082060814,True,True,True,True,0.1293499618768692,0.1620822250843048,0.00047403573989868164,0.0005662058247253299,0.005173998419195414,0.006383625324815512,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.036457180976867676,0.012493878602981567,0.02396330237388611,0.049117207527160645,-0.009143352508544922,0.058260560035705566,-0.12775957584381104,-0.023701786994934082,-0.10405778884887695,0.12796588242053986,-0.1293499618768692,0.25731584429740906,0.0909154862165451,-0.08119562268257141,0.17211110889911652,-0.10736391693353653,-0.04631446301937103,-0.0610494539141655
6,6,legacy_list,manual,0.02,0.04,0.02,0.04,-0.06875097751617432,0.2856610119342804,False,False,-0.06875097751617432,-0.01229792833328247,-0.06697922945022583,0.2856610119342804,0.16446706652641296,0.18202689290046692,0.0,hold(0),-0.0013750195503234863,-0.0002459585666656494,-0.0013395845890045166,0.011426440440118313,0.006578682456165552,0.007281075697392225,True,True,True,True,0.09778574854135513,0.13798588514328003,0.0013368427753448486,0.0013848715461790562,0.003911430016160011,0.004774169530719519,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.055286288261413574,0.013464689254760742,-0.06875097751617432,0.05454421043395996,0.06684213876724243,-0.01229792833328247,-0.07904171943664551,-0.012062489986419678,-0.06697922945022583,0.22070978581905365,-0.06495122611522675,0.2856610119342804,0.14290973544120789,-0.021557331085205078,0.16446706652641296,0.08424114435911179,-0.09778574854135513,0.18202689290046692
7,7,legacy_list,manual,0.02,0.04,0.02,0.04,-0.08789131790399551,0.05617884546518326,False,False,0.025841593742370605,-0.041294097900390625,-0.002473592758178711,0.05617884546518326,-0.060201495885849,-0.08789131790399551,0.0,hold(0),0.0005168318748474121,-0.0008258819580078125,-4.947185516357422e-05,0.0022471537813544273,-0.0024080597795546055,-0.0035156526137143373,True,True,True,True,0.04215770214796066,0.07293649762868881,0.0008343160152435303,0.001181020517833531,0.001686308067291975,0.001712406170554459,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.05296766757965088,0.027126073837280273,0.025841593742370605,-0.009498000144958496,0.03179609775543213,-0.041294097900390625,-0.044189393520355225,-0.041715800762176514,-0.002473592758178711,0.04884062334895134,-0.007338222116231918,0.05617884546518326,-0.0614616759121418,-0.001260180026292801,-0.060201495885849,-0.13004902005195618,-0.04215770214796066,-0.08789131790399551
8,8,legacy_list,manual,0.02,0.04,0.02,0.04,-0.06294605135917664,0.0208488330245018,False,False,-0.016852468252182007,-0.04995167255401611,-0.06191283464431763,0.0208488330245018,-0.06294605135917664,-0.014358799904584885,0.0,hold(0),-0.00033704936504364014,-0.0009990334510803223,-0.0012382566928863525,0.0008339533233083785,-0.002517841989174485,-0.0005743519868701696,True,True,True,True,0.05067264288663864,0.07319605350494385,0.0007168352603912354,0.00093143928097561,0.0020269057713449,0.002258748048916459,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.011639297008514404,0.02849176526069641,-0.016852468252182007,-0.014109909534454346,0.03584176301956177,-0.04995167255401611,-0.07042959332466125,-0.008516758680343628,-0.06191283464431763,-0.02982380986213684,-0.05067264288663864,0.0208488330245018,-0.06952700018882751,-0.006580948829650879,-0.06294605135917664,-0.03839394822716713,-0.024035148322582245,-0.014358799904584885
9,9,legacy_list,manual,0.02,0.04,0.02,0.04,-0.43507522344589233,0.06718635559082031,False,False,0.06718635559082031,-0.05466490983963013,0.015178322792053223,-0.43507522344589233,-0.040566347539424896,-0.04134145751595497,0.0,hold(0),0.0013437271118164062,-0.0010932981967926025,0.00030356645584106445,-0.01740300841629505,-0.0016226539155468345,-0.0016536582261323929,True,True,True,True,0.23721835017204285,0.2504784166812897,0.0011043250560760498,0.0015841874992474914,0.009488733485341072,0.009504972025752068,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.04428476095199585,-0.022901594638824463,0.06718635559082031,-0.002695620059967041,0.051969289779663086,-0.05466490983963013,-0.04003793001174927,-0.05521625280380249,0.015178322792053223,-0.1978568732738495,0.23721835017204285,-0.43507522344589233,-0.037861187011003494,0.002705160528421402,-0.040566347539424896,-0.054959483444690704,-0.013618025928735733,-0.04134145751595497
