episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,0,False,policy,0.0,False,1.0,0.0,0.22442233562469482,0.15701694786548615,-0.2963058054447174,-0.05529128387570381,-0.2570382058620453,0.09124351292848587,0.0,hold(0),4.4884467124938965,3.1403389573097233,-5.926116108894348,-0.1267182883975028,-0.5890881747804004,0.20911472794998412,-1.0,-1.0,,82.24047088623047,82.00869750976562,-1.0,10.0,82.24047088623047,,,,close_event_to_close_cmd,-0.8867133855819702,-0.9147396683692932,-0.8586870431900024,"[-0.9147396683692932, -0.8586870431900024]",-1.1044024229049683,"[1.3546850681304932, -1.1044024229049683, -0.0861506313085556]"
1,1,False,policy,0.0,False,1.0,-0.02,0.13396522402763367,-0.18499647080898285,0.2937357723712921,-0.04006025195121765,0.08996850252151489,-0.23908092081546783,-1.0,close(-1),2.679304480552674,-3.699929416179657,5.874715447425842,-0.09181133452141971,0.20619261934379635,-0.5479331089931095,-1.0,-1.0,,82.00869750976562,17.806921005249023,-1.0,10.0,82.00869750976562,,,,close_event_to_close_cmd,-0.9442031979560852,-0.9984333515167236,-0.8899730443954468,"[-0.9984333515167236, -0.8899730443954468]",1.9531902074813843,"[1.9531902074813843, -0.6993997097015381, -0.8976677060127258]"
2,2,False,policy,0.0,False,1.0,0.0,0.12221571058034897,-0.2620044946670532,-0.2997560501098633,-0.028552936390042305,0.2197858989238739,-0.28843674063682556,0.0,hold(0),2.4443142116069794,-5.2400898933410645,-5.995121002197266,-0.06543850991419715,0.5037121761930751,-0.6610483157999868,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.5749711394309998,-0.8999443650245667,-0.24999791383743286,"[-0.24999791383743286, -0.8999443650245667]",-1.0357837677001953,"[2.4444448947906494, -1.0357837677001953, -1.9365447759628296]"
3,3,False,policy,0.0,False,1.0,0.0,0.2605985999107361,-0.24211856722831726,-0.2999955117702484,-0.13777652382850647,-0.18804149329662323,0.2668619453907013,0.0,hold(0),5.211971998214722,-4.842371344566345,-5.999910235404969,-0.31576053325428155,-0.4309593575693629,0.6116025273415134,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.8030961751937866,-1.1561920642852783,-0.4500003457069397,"[-0.4500003457069397, -1.1561920642852783]",-0.9898276329040527,"[2.3927345275878906, -0.9898276329040527, -1.820314645767212]"
4,4,False,policy,0.0,False,1.0,0.0,-0.015336338430643082,-0.28435391187667847,-0.29900163412094116,0.14914637804031372,0.28545230627059937,-0.174765482544899,0.0,hold(0),-0.30672676861286163,-5.687078237533569,-5.980032682418823,0.3418183196549055,0.6542084960632443,-0.40053298217559885,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.5395662188529968,-0.6231412887573242,-0.45599114894866943,"[-0.45599114894866943, -0.6231412887573242]",-1.4765814542770386,"[2.3885412216186523, -1.4765814542770386, -1.7836430072784424]"
5,5,False,policy,0.0,False,1.0,0.0,-0.2333928495645523,-0.20854860544204712,0.29974862933158875,0.23467501997947693,-0.2092118114233017,0.2785864472389221,0.0,hold(0),-4.667856991291046,-4.170972108840942,5.994972586631775,0.5378355280788919,-0.4794781527536821,0.638473106253369,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.6405370235443115,-1.0614619255065918,-0.21961213648319244,"[-0.21961213648319244, -1.0614619255065918]",-0.7071415185928345,"[2.1280972957611084, -0.7071415185928345, -2.0038936138153076]"
6,6,False,policy,0.0,False,1.0,0.0,-0.1851389855146408,-0.27494680881500244,0.2784828841686249,0.2241089791059494,0.22912418842315674,0.24027188122272491,0.0,hold(0),-3.702779710292816,-5.498936176300049,5.569657683372498,0.513619946150258,0.5251139592402848,0.5506625891892301,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.8114420175552368,-1.0793209075927734,-0.5435631275177002,"[-0.5435631275177002, -1.0793209075927734]",-0.932339608669281,"[2.058199405670166, -0.932339608669281, -2.010556221008301]"
7,7,False,policy,0.0,False,1.0,0.0,-0.02535800263285637,-0.22064609825611115,0.14215654134750366,-0.0517890639603138,0.29438138008117676,0.29022538661956787,0.0,hold(0),-0.5071600526571274,-4.412921965122223,2.8431308269500732,-0.11869179159436227,0.6746724258355196,0.6651475904341533,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.8933984637260437,-1.3871047496795654,-0.3996921479701996,"[-0.3996921479701996, -1.3871047496795654]",-0.47762495279312134,"[1.9984500408172607, -0.47762495279312134, -2.478891611099243]"
8,8,False,policy,0.0,False,1.0,0.0,-0.04933840036392212,0.15784017741680145,-0.17000143229961395,0.13762909173965454,-0.2532249093055725,-0.29341554641723633,0.0,hold(0),-0.9867680072784425,3.156803548336029,-3.400028645992279,0.31542264379604107,-0.5803487428316941,-0.6724588981293018,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.5765427350997925,-0.7934176921844482,-0.3596677780151367,"[-0.3596677780151367, -0.7934176921844482]",-1.0869728326797485,"[1.9253416061401367, -1.0869728326797485, -1.6323974132537842]"
9,9,False,policy,0.0,False,1.0,0.0,0.09555665403604507,-0.25938060879707336,0.2994322180747986,0.09853453934192657,0.29003670811653137,0.24466584622859955,0.0,hold(0),1.9111330807209015,-5.187612175941467,5.988644361495972,0.22582452962232644,0.6647151711577999,0.5607328151958217,-1.0,-1.0,,17.806921005249023,17.806921005249023,-1.0,10.0,17.806921005249023,,,,close_event_to_close_cmd,-0.6520499587059021,-0.9312900900840759,-0.37280985713005066,"[-0.37280985713005066, -0.9312900900840759]",-0.44480469822883606,"[1.7518808841705322, -0.44480469822883606, -1.3434581756591797]"
