episode_local_step,global_step,had_intervene_action,action_source,reward,done,mask,grasp_penalty,a0,a1,a2,a3,a4,a5,a6,gripper_label,pos_dx_mm,pos_dy_mm,pos_dz_mm,rot_droll_deg,rot_dpitch_deg,rot_dyaw_deg,policy_a6,stored_before_a6,raw_intervene_a6,obs_gripper_feedback,next_obs_gripper_feedback,env_raw_action6,env_mapped_hw,env_feedback_before,env_feedback_after,env_mem_before,env_mem_after,env_map_reason,critic_q_mean,critic_q_min,critic_q_max,critic_qs,grasp_q_selected,grasp_qs
0,1184,False,policy,0.0,False,1.0,0.0,0.17426954209804535,0.29135939478874207,-0.2861071527004242,-0.27911168336868286,-0.10031145066022873,0.22622236609458923,0.0,hold(0),3.485390841960907,5.827187895774841,-5.722143054008484,-0.639676858792692,-0.22989691038663607,0.518463472347335,0.0,0.0,,83.74248504638672,83.74248504638672,0.0,80.0,83.74248504638672,,,,hold_to_memory_or_latch,-1.1169793605804443,-1.119912028312683,-1.114046573638916,"[-1.119912028312683, -1.114046573638916]",0.3855401277542114,"[0.15432308614253998, 0.3855401277542114, 0.3530534505844116]"
1,1185,False,policy,0.0,False,1.0,0.0,0.27923592925071716,0.2771364450454712,-0.18953455984592438,0.006606070790439844,-0.2926005721092224,0.0797601193189621,0.0,hold(0),5.584718585014343,5.542728900909424,-3.7906911969184875,0.015139999018274192,-0.6705911145988701,0.18279672841745562,1.0,1.0,,83.74248504638672,83.74248504638672,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.1658347845077515,-1.1660162210464478,-1.1656533479690552,"[-1.1656533479690552, -1.1660162210464478]",0.4167385995388031,"[0.2541976571083069, 0.4167385995388031, 0.4454870820045471]"
2,1186,False,policy,0.0,False,1.0,0.0,-0.04158327728509903,0.24043792486190796,-0.28795453906059265,-0.06650005280971527,0.1360214799642563,-0.09788201749324799,0.0,hold(0),-0.8316655457019807,4.808758497238159,-5.759090781211853,-0.15240689453575107,0.31173826900300694,-0.22432905970355213,1.0,1.0,,83.74248504638672,83.74248504638672,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.165578842163086,-1.1740145683288574,-1.157143235206604,"[-1.157143235206604, -1.1740145683288574]",0.41897162795066833,"[0.25362449884414673, 0.41897162795066833, 0.47943592071533203]"
3,1187,False,policy,0.0,False,1.0,0.0,-0.2073030024766922,0.08035596460103989,-0.28152042627334595,-0.29885512590408325,-0.2259237915277481,-0.2806472182273865,0.0,hold(0),-4.146060049533844,1.6071192920207977,-5.630408525466919,-0.6849254960061925,-0.5177791898453373,-0.6431960454606493,1.0,1.0,,83.74248504638672,83.74248504638672,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.1658625602722168,-1.1758253574371338,-1.1558996438980103,"[-1.1558996438980103, -1.1758253574371338]",0.4231541156768799,"[0.2856546938419342, 0.4231541156768799, 0.4555991291999817]"
4,1188,False,policy,0.0,False,1.0,0.0,0.1528419703245163,0.28754425048828125,-0.25323644280433655,-0.2704858183860779,-0.27742642164230347,0.2567606270313263,0.0,hold(0),3.0568394064903264,5.750885009765625,-5.064728856086731,-0.6199078324665738,-0.6358145234208332,0.5884520109611056,1.0,1.0,,83.74248504638672,83.74248504638672,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.166629672050476,-1.177978754043579,-1.155280590057373,"[-1.155280590057373, -1.177978754043579]",0.414928138256073,"[0.2479778677225113, 0.414928138256073, 0.4234170913696289]"
5,1189,False,policy,0.0,False,1.0,0.0,0.11776012182235718,0.28891390562057495,-0.2498241513967514,-0.274737149477005,0.25709623098373413,-0.22960816323757172,0.0,hold(0),2.3552024364471436,5.778278112411499,-4.996483027935028,-0.6296511656194889,0.5892211585635406,-0.5262231478105489,1.0,1.0,,83.74248504638672,83.72821807861328,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.1682817935943604,-1.1784300804138184,-1.1581335067749023,"[-1.1581335067749023, -1.1784300804138184]",0.4084647595882416,"[0.2364029437303543, 0.4084647595882416, 0.4327394366264343]"
6,1190,False,policy,0.0,False,1.0,0.0,0.0674806460738182,0.17549370229244232,-0.1901405304670334,-0.09026942402124405,2.508312536519952e-05,-0.13357007503509521,0.0,hold(0),1.3496129214763641,3.5098740458488464,-3.802810609340668,-0.20688228061976546,5.748628881693897e-05,-0.3061200627502671,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,-1.1561498641967773,-1.1660881042480469,-1.1462115049362183,"[-1.1462115049362183, -1.1660881042480469]",0.41341713070869446,"[0.30295756459236145, 0.41341713070869446, 0.40477555990219116]"
7,1191,False,policy,0.0,False,1.0,0.0,0.2547633647918701,0.19444572925567627,-0.24148505926132202,-0.29726850986480713,0.07269953191280365,0.08644024282693863,0.0,hold(0),5.095267295837403,3.8889145851135254,-4.82970118522644,-0.6812892398958611,0.1666150540472116,0.19810644376278289,1.0,1.0,,83.72821807861328,83.72821807861328,1.0,80.0,83.72821807861328,,,,open_event_to_open_cmd,-1.1312329769134521,-1.1328237056732178,-1.129642367362976,"[-1.129642367362976, -1.1328237056732178]",0.403283029794693,"[0.2652447819709778, 0.403283029794693, 0.43198204040527344]"
8,1192,False,policy,0.0,False,1.0,0.0,0.28437864780426025,-0.12527476251125336,-0.17581680417060852,-0.295826256275177,0.1096491739153862,0.14393340051174164,0.0,hold(0),5.687572956085205,-2.505495250225067,-3.5163360834121704,-0.6779838381489252,0.25129739569790344,0.3298710552115568,1.0,1.0,,83.72821807861328,83.74248504638672,1.0,80.0,83.72821807861328,,,,open_event_to_open_cmd,-1.1630988121032715,-1.173959732055664,-1.152237892150879,"[-1.152237892150879, -1.173959732055664]",0.400712251663208,"[0.2777513563632965, 0.400712251663208, 0.41218531131744385]"
9,1193,False,policy,0.0,False,1.0,0.0,0.28392836451530457,0.17435628175735474,-0.18102729320526123,-0.29715216159820557,-0.05900954827666283,0.08690091967582703,0.0,hold(0),5.678567290306091,3.4871256351470947,-3.6205458641052246,-0.6810225893106638,-0.13523992268905044,0.1991622373292105,1.0,1.0,,83.74248504638672,83.72821807861328,1.0,80.0,83.74248504638672,,,,open_event_to_open_cmd,-1.1398899555206299,-1.142432451248169,-1.1373474597930908,"[-1.142432451248169, -1.1373474597930908]",0.41181349754333496,"[0.28832414746284485, 0.41181349754333496, 0.41173189878463745]"
10,1194,False,policy,0.0,False,1.0,0.0,0.0013232144992798567,0.2743878960609436,-0.29425978660583496,-0.129037007689476,0.22319655120372772,0.244525745511055,0.0,hold(0),0.026464289985597137,5.487757921218872,-5.885195732116699,-0.2957310376641651,0.5115288154339669,0.5604117280029395,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,-1.1438333988189697,-1.148024082183838,-1.1396427154541016,"[-1.1396427154541016, -1.148024082183838]",0.40289226174354553,"[0.27419233322143555, 0.40289226174354553, 0.3760461211204529]"
11,1195,False,policy,0.0,False,1.0,0.0,0.26413339376449585,0.2967105209827423,-0.27700862288475037,0.11411849409341812,0.15611284971237183,0.11913537979125977,0.0,hold(0),5.282667875289917,5.934210419654846,-5.540172457695007,0.2615403230376589,0.35778429665116057,0.27303817810909375,0.0,0.0,,83.72821807861328,83.72821807861328,0.0,80.0,83.72821807861328,,,,hold_to_memory_or_latch,-1.1365623474121094,-1.1397169828414917,-1.1334075927734375,"[-1.1334075927734375, -1.1397169828414917]",0.3646087348461151,"[0.3071495294570923, 0.3646087348461151, 0.3367486000061035]"
